,Name,Colour,Price in Rouble,Price in Tenge,Evaluation,In stock,Url
83,LENOVO Tab M10 Plus TB-X606X,4G серый,17990.0,107940.0,4.0,в 22 магазинах,https://www.citilink.ru/product/planshet-lenovo-tab-m10-plus-tb-x606x-helio-p22t-8c-4gb-64gb-10-3-ips-1391708/
84,SAMSUNG Galaxy Tab S6 Lite SM-P615N,4G голубой,27990.0,167940.0,,в 7 магазинах,https://www.citilink.ru/product/planshet-samsung-galaxy-tab-s6-lite-sm-p615n-8c-6gb-128gb-10-4-super-a-1373467/
85,DIGMA CITI 3000 4G,4G черный,16990.0,101940.0,4.4,в 6 магазинах,https://www.citilink.ru/product/planshet-digma-citi-3000-4g-3gb-64gb-3g-4g-android-8-1-chernyi-cs3001m-1033792/
86,LENOVO Tab M10 TB-X306X,4G серый,13990.0,83940.0,,в 22 магазинах,https://www.citilink.ru/product/planshet-lenovo-tab-m10-plus-tb-x306x-helio-p22t-8c-2gb-32gb-10-1-ips-1414511/
87,"APPLE iPad Pro 2020 11"" 128Gb Wi-Fi MY232RU/A",128GB темно-серый,67990.0,407940.0,,в 1 магазине,https://www.citilink.ru/product/planshet-apple-ipad-pro-2020-my232ru-a-a12x-bionic-128gb-11-ips-2388x1-1368188/
88,SAMSUNG Galaxy Tab A7 SM-T505N,4G золотистый,20980.0,125880.0,,в 8 магазинах,https://www.citilink.ru/product/planshet-samsung-galaxy-tab-a7-sm-t505n-3gb-64gb-3g-4g-android-9-0-zol-1423997/
89,LENOVO Tab M8 TB-8505F,32GB серый,10490.0,62940.0,5.0,в 2 магазинах,https://www.citilink.ru/product/planshet-lenovo-tab-m8-tb-8505f-2gb-32gb-android-9-0-seryi-za5g0021ru-1178264/
90,LENOVO Yoga Smart Tab YT-X705X,4G темно-серый,19990.0,119940.0,5.0,в 22 магазинах,https://www.citilink.ru/product/planshet-lenovo-yoga-smart-tab-yt-x705x-3gb-32gb-3g-4g-android-9-0-tem-1170679/
91,LENOVO Tab M10 Plus TB-X606F,32GB серебристый,13990.0,83940.0,4.0,в 23 магазинах,https://www.citilink.ru/product/planshet-lenovo-tab-m10-tb-x606f-helio-p22t-8c-2gb-32gb-10-3-ips-1920x-1210842/
92,SAMSUNG Galaxy Tab S6 Lite SM-P615N,4G розовый,27990.0,167940.0,,в 1 магазине,https://www.citilink.ru/product/planshet-samsung-galaxy-tab-s6-lite-sm-p615n-8c-6gb-128gb-10-4-super-a-1373474/
